race_id,race_date,venue,grade,distance,c,winners,udist,minp,maxp,status,reason
BEN_2025-08-20_8,2025-08-20,BEN,"Grade 5 T3",500,5,0,4,2,6,FAIL,no_winner
CANN_2025-08-20_1,2025-08-20,CANN,5,300,7,0,5,3,8,FAIL,no_winner
CANN_2025-08-20_11,2025-08-20,CANN,6,275,5,1,3,1,3,FAIL,duplicate_positions
CANN_2025-08-20_12,2025-08-20,CANN,FFA,381,5,1,4,1,8,FAIL,duplicate_positions
CANN_2025-08-20_2,2025-08-20,CANN,M,381,5,0,4,4,7,FAIL,no_winner
CANN_2025-08-20_5,2025-08-20,CANN,NOV,381,6,0,4,2,6,FAIL,no_winner
DARW_2025-08-20_3,2025-08-20,DARW,4/5,312,4,0,3,2,4,FAIL,no_winner
GUNNEDAH_2025-08-20_10,2025-08-20,GUNNEDAH,5,340,6,0,5,3,8,FAIL,no_winner
GUNNEDAH_2025-08-20_3,2025-08-20,GUNNEDAH,4/5,318,6,0,4,4,7,FAIL,no_winner
GUNNEDAH_2025-08-20_6,2025-08-20,GUNNEDAH,5,431,7,1,5,1,8,FAIL,duplicate_positions
GUNNEDAH_2025-08-20_7,2025-08-20,GUNNEDAH,5,318,8,1,5,1,7,FAIL,duplicate_positions
GUNNEDAH_2025-08-20_8,2025-08-20,GUNNEDAH,M2/M3,340,6,0,5,2,7,FAIL,no_winner
MEADOWS_2025-08-20_1,2025-08-20,MEADOWS,"Tier 3 - Maiden",545,4,0,4,2,8,FAIL,no_winner
MEADOWS_2025-08-20_6,2025-08-20,MEADOWS,"Grade 5",500,4,0,4,4,8,FAIL,no_winner
RICH_2025-08-20_1,2025-08-20,RICH,M,320,5,0,5,2,8,FAIL,no_winner
RICH_2025-08-20_11,2025-08-20,RICH,M,320,8,1,6,1,8,FAIL,duplicate_positions
RICH_2025-08-20_12,2025-08-20,RICH,FFA,320,6,1,3,1,5,FAIL,duplicate_positions
RICH_2025-08-20_6,2025-08-20,RICH,5,401,5,0,4,2,8,FAIL,no_winner
RICH_2025-08-20_9,2025-08-20,RICH,5,520,4,0,3,4,6,FAIL,no_winner
ROCKHAMPTON_2025-08-20_10,2025-08-20,ROCKHAMPTON,M5,407,6,0,3,3,5,FAIL,no_winner
ROCKHAMPTON_2025-08-20_11,2025-08-20,ROCKHAMPTON,5,407,6,0,4,3,7,FAIL,no_winner
ROCKHAMPTON_2025-08-20_2,2025-08-20,ROCKHAMPTON,6,407,7,0,4,2,6,FAIL,no_winner
ROCKHAMPTON_2025-08-20_3,2025-08-20,ROCKHAMPTON,FFA,407,6,1,5,1,5,FAIL,duplicate_positions
ROCKHAMPTON_2025-08-20_4,2025-08-20,ROCKHAMPTON,4/5,407,6,1,5,1,8,FAIL,duplicate_positions
ROCKHAMPTON_2025-08-20_5,2025-08-20,ROCKHAMPTON,4,407,4,1,4,1,6,FAIL,max_out_of_range
ROCKHAMPTON_2025-08-20_8,2025-08-20,ROCKHAMPTON,5,407,5,0,4,2,7,FAIL,no_winner
ROCKHAMPTON_2025-08-20_9,2025-08-20,ROCKHAMPTON,5,407,7,0,4,2,7,FAIL,no_winner
SAL_2025-08-20_10,2025-08-20,SAL,"Tier 3 - Restricted Win",460,6,1,4,1,7,FAIL,duplicate_positions
SAL_2025-08-20_11,2025-08-20,SAL,"Grade 5 T3",400,5,1,5,1,6,FAIL,max_out_of_range
SAL_2025-08-20_12,2025-08-20,SAL,"Grade 5",400,6,0,5,2,8,FAIL,no_winner
TAREE_2025-08-20_11,2025-08-20,TAREE,NG1-4,300,7,1,5,1,7,FAIL,duplicate_positions
TAREE_2025-08-20_2,2025-08-20,TAREE,M,350,5,0,4,2,8,FAIL,no_winner
TAREE_2025-08-20_6,2025-08-20,TAREE,5,400,5,1,4,1,6,FAIL,duplicate_positions
TAREE_2025-08-20_7,2025-08-20,TAREE,5,300,7,0,6,2,8,FAIL,no_winner
TEMORA_2025-08-20_1,2025-08-20,TEMORA,M,330,5,0,3,2,7,FAIL,no_winner
TEMORA_2025-08-20_3,2025-08-20,TEMORA,5,330,5,0,4,4,7,FAIL,no_winner
TEMORA_2025-08-20_4,2025-08-20,TEMORA,5,330,5,0,2,3,6,FAIL,no_winner
TEMORA_2025-08-20_6,2025-08-20,TEMORA,4/5,330,7,0,6,2,8,FAIL,no_winner
TEMORA_2025-08-20_9,2025-08-20,TEMORA,4/5,457,5,1,5,1,6,FAIL,max_out_of_range
BAL_2025-08-11_7,2025-08-11,BAL,"Tier 3 - Restricted Win",545,4,0,4,2,8,FAIL,no_winner
GARD_2025-08-11_4,2025-08-11,GARD,"S/E Heat",730,7,1,3,1,3,FAIL,duplicate_positions
GUNNEDAH_2025-08-11_1,2025-08-11,GUNNEDAH,M,340,5,0,4,2,6,FAIL,no_winner
HOBT_2025-08-11_5,2025-08-11,HOBT,5,278,6,0,6,2,8,FAIL,no_winner
CAPALABA_2025-08-10_9,2025-08-10,CAPALABA,R/W,550,4,0,3,3,5,FAIL,no_winner
GRAFTON_2025-08-10_5,2025-08-10,GRAFTON,5,350,6,1,6,1,7,FAIL,max_out_of_range
GRAFTON_2025-08-10_9,2025-08-10,GRAFTON,4/5,350,5,1,4,1,5,FAIL,duplicate_positions
MOUNT_2025-08-10_3,2025-08-10,MOUNT,"Grade 5",460,7,1,5,1,6,FAIL,duplicate_positions
MOUNT_2025-08-10_7,2025-08-10,MOUNT,TG1-4W,342,6,1,5,1,8,FAIL,duplicate_positions
MURR_2025-08-10_1,2025-08-10,MURR,M,300,6,1,4,1,6,FAIL,duplicate_positions
SAL_2025-08-10_6,2025-08-10,SAL,"Free For All",435,6,0,4,2,7,FAIL,no_winner
CANN_2025-08-09_5,2025-08-09,CANN,5,520,3,1,3,1,4,FAIL,max_out_of_range
GEE_2025-08-09_7,2025-08-09,GEE,"Mixed 6/7 Heat",485,6,0,4,2,8,FAIL,no_winner
GRDN_2025-08-09_11,2025-08-09,GRDN,NG1-4,388,4,0,3,3,7,FAIL,no_winner
TAREE_2025-08-09_11,2025-08-09,TAREE,MX,431,6,0,5,2,8,FAIL,no_winner
WPK_2025-08-09_5,2025-08-09,WPK,5,520,7,1,3,1,3,FAIL,duplicate_positions
BAL_2025-08-04_7,2025-08-04,BAL,"Mixed 6/7",390,4,1,4,1,7,FAIL,max_out_of_range
HOBT_2025-08-04_5,2025-08-04,HOBT,5,461,6,0,4,2,8,FAIL,no_winner
TAREE_2025-08-02_11,2025-08-02,TAREE,5,300,3,0,2,2,3,FAIL,no_winner
TAR_2025-08-02_2,2025-08-02,TAR,M,300,3,0,3,2,4,FAIL,no_winner
TAR_2025-08-02_3,2025-08-02,TAR,M,388,3,0,2,5,6,FAIL,no_winner
CASINO_2025-07-31_5,2025-07-31,CASINO,4/5,411,5,1,5,1,7,FAIL,max_out_of_range
HOBT_2025-07-31_9,2025-07-31,HOBT,5,278,3,1,2,1,5,FAIL,duplicate_positions
BAL_2025-07-30_1,2025-07-30,BAL,"Maiden Heat",525,4,0,3,3,5,FAIL,no_winner
BAL_2025-07-30_13,2025-07-30,BAL,"Grade 5 Heat",435,8,1,6,1,6,FAIL,duplicate_positions
BAL_2025-07-30_4,2025-07-30,BAL,"Mixed 6/7 Heat",450,6,0,4,2,7,FAIL,no_winner
BAL_2025-07-30_5,2025-07-30,BAL,"Restricted Win Heat",660,6,1,4,1,5,FAIL,duplicate_positions
BAL_2025-07-30_8,2025-07-30,BAL,"Grade 5",525,5,0,3,2,5,FAIL,no_winner
BEN_2025-07-30_1,2025-07-30,BEN,Maiden,425,5,0,4,2,8,FAIL,no_winner
